Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781377163

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    96 | steps   49,152 | sps   2170 | ep_rew    -1.07 | ep_len    120 | n_eps    5 | pol -0.0007 | val  0.0933 | ent -1.2127 | kl 0.000043 | ev  0.454 | lr 2.95e-04
iter    97 | steps   49,664 | sps   1876 | ep_rew    -2.30 | ep_len    114 | n_eps    4 | pol -0.0002 | val  0.1269 | ent -1.2387 | kl 0.000029 | ev  0.430 | lr 2.95e-04
iter    98 | steps   50,176 | sps   2173 | ep_rew    -1.66 | ep_len    125 | n_eps    4 | pol -0.0013 | val  0.0860 | ent -1.2149 | kl 0.000053 | ev  0.574 | lr 2.95e-04
iter    99 | steps   50,688 | sps   2183 | ep_rew    -0.18 | ep_len    110 | n_eps    4 | pol -0.0015 | val  0.0808 | ent -1.2125 | kl 0.000088 | ev  0.502 | lr 2.95e-04
iter   100 | steps   51,200 | sps   2169 | ep_rew    -1.21 | ep_len    119 | n_eps    6 | pol -0.0021 | val  0.1138 | ent -1.2038 | kl 0.000090 | ev  0.517 | lr 2.95e-04
  [ckpt] saved → models/lunar_ppo/lunar_checkpoint_51200.pt
iter   101 | steps   51,712 | sps   2177 | ep_rew    -0.73 | ep_len    106 | n_eps    4 | pol -0.0022 | val  0.0801 | ent -1.1987 | kl 0.000105 | ev  0.584 | lr 2.95e-04
iter   102 | steps   52,224 | sps   2184 | ep_rew    -1.23 | ep_len    111 | n_eps    4 | pol -0.0002 | val  0.0542 | ent -1.2083 | kl 0.000040 | ev  0.770 | lr 2.95e-04
iter   103 | steps   52,736 | sps   2156 | ep_rew    -1.40 | ep_len    113 | n_eps    5 | pol -0.0010 | val  0.0778 | ent -1.2049 | kl 0.000046 | ev  0.706 | lr 2.95e-04
iter   104 | steps   53,248 | sps   2167 | ep_rew    -1.44 | ep_len    123 | n_eps    4 | pol -0.0026 | val  0.0760 | ent -1.1945 | kl 0.000201 | ev  0.765 | lr 2.95e-04
iter   105 | steps   53,760 | sps   2175 | ep_rew    -2.29 | ep_len    132 | n_eps    3 | pol -0.0016 | val  0.0551 | ent -1.2026 | kl 0.000219 | ev  0.840 | lr 2.95e-04
iter   106 | steps   54,272 | sps   2189 | ep_rew    -0.82 | ep_len    142 | n_eps    4 | pol -0.0008 | val  0.0662 | ent -1.1978 | kl 0.000070 | ev  0.785 | lr 2.95e-04
iter   107 | steps   54,784 | sps   3077 | ep_rew    -1.70 | ep_len    119 | n_eps    5 | pol -0.0006 | val  0.0714 | ent -1.1669 | kl 0.000048 | ev  0.667 | lr 2.95e-04
iter   108 | steps   55,296 | sps   2020 | ep_rew    -0.90 | ep_len    108 | n_eps    5 | pol -0.0010 | val  0.0757 | ent -1.1708 | kl 0.000036 | ev  0.742 | lr 2.95e-04
iter   109 | steps   55,808 | sps   2116 | ep_rew    -1.19 | ep_len    114 | n_eps    3 | pol -0.0016 | val  0.0805 | ent -1.1657 | kl 0.000091 | ev  0.804 | lr 2.94e-04
iter   110 | steps   56,320 | sps   2151 | ep_rew    -3.92 | ep_len    117 | n_eps    3 | pol -0.0004 | val  0.1229 | ent -1.1915 | kl 0.000083 | ev  0.774 | lr 2.94e-04
iter   111 | steps   56,832 | sps   2135 | ep_rew    -0.76 | ep_len    117 | n_eps    2 | pol -0.0008 | val  0.0854 | ent -1.2092 | kl 0.000075 | ev  0.625 | lr 2.94e-04
iter   112 | steps   57,344 | sps   2088 | ep_rew    -1.03 | ep_len    110 | n_eps    2 | pol -0.0023 | val  0.0530 | ent -1.2441 | kl 0.000416 | ev  0.738 | lr 2.94e-04
iter   113 | steps   57,856 | sps   2111 | ep_rew    -0.10 | ep_len    130 | n_eps    2 | pol -0.0020 | val  0.0777 | ent -1.2257 | kl 0.000831 | ev  0.497 | lr 2.94e-04
iter   114 | steps   58,368 | sps   2099 | ep_rew    -2.91 | ep_len    124 | n_eps    3 | pol -0.0027 | val  0.2765 | ent -1.2295 | kl 0.000671 | ev  0.361 | lr 2.94e-04
iter   115 | steps   58,880 | sps   1950 | ep_rew    -0.53 | ep_len    118 | n_eps    2 | pol -0.0027 | val  0.0590 | ent -1.2580 | kl 0.000640 | ev  0.485 | lr 2.94e-04
iter   116 | steps   59,392 | sps   2049 | ep_rew    -1.15 | ep_len    421 | n_eps    3 | pol -0.0014 | val  0.0816 | ent -1.2536 | kl 0.000247 | ev  0.550 | lr 2.94e-04
iter   117 | steps   59,904 | sps   1814 | ep_rew    -1.90 | ep_len    112 | n_eps    2 | pol -0.0005 | val  0.0872 | ent -1.2548 | kl 0.000061 | ev  0.255 | lr 2.94e-04
iter   118 | steps   60,416 | sps   2005 | ep_rew     0.12 | ep_len    556 | n_eps    2 | pol -0.0001 | val  0.0466 | ent -1.2265 | kl 0.000029 | ev  0.501 | lr 2.94e-04
iter   119 | steps   60,928 | sps   2010 | ep_rew    -0.87 | ep_len    124 | n_eps    4 | pol -0.0008 | val  0.0464 | ent -1.2071 | kl 0.000059 | ev  0.616 | lr 2.94e-04
iter   120 | steps   61,440 | sps   1987 | ep_rew    -1.55 | ep_len    118 | n_eps    3 | pol -0.0027 | val  0.0778 | ent -1.2035 | kl 0.000149 | ev  0.646 | lr 2.94e-04
iter   121 | steps   61,952 | sps   1995 | ep_rew    -3.73 | ep_len    136 | n_eps    3 | pol  0.0007 | val  0.2363 | ent -1.1836 | kl 0.000087 | ev  0.569 | lr 2.94e-04
iter   122 | steps   62,464 | sps    931 | ep_rew    -0.79 | ep_len    113 | n_eps    4 | pol -0.0016 | val  0.0465 | ent -1.1830 | kl 0.000073 | ev  0.625 | lr 2.94e-04
iter   123 | steps   62,976 | sps   1899 | ep_rew    -0.35 | ep_len    291 | n_eps    5 | pol -0.0019 | val  0.0409 | ent -1.1788 | kl 0.000172 | ev  0.670 | lr 2.94e-04
iter   124 | steps   63,488 | sps   2086 | ep_rew    -0.25 | ep_len    128 | n_eps    4 | pol -0.0013 | val  0.0810 | ent -1.1338 | kl 0.000121 | ev  0.583 | lr 2.94e-04
