Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781379942

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    57 | steps   29,184 | sps   5951 | ep_rew  -117.56 | ep_len     88 | n_eps    6 | pol -0.0003 | val  0.0080 | ent -1.3710 | kl 0.000004 | ev  0.569 | lr 1.00e-04
iter    58 | steps   29,696 | sps   3363 | ep_rew  -130.46 | ep_len     91 | n_eps    5 | pol -0.0002 | val  0.0107 | ent -1.3787 | kl 0.000002 | ev  0.083 | lr 1.00e-04
iter    59 | steps   30,208 | sps   3280 | ep_rew  -108.21 | ep_len     84 | n_eps    6 | pol -0.0004 | val  0.0437 | ent -1.3761 | kl 0.000003 | ev  0.138 | lr 1.00e-04
iter    60 | steps   30,720 | sps   3295 | ep_rew  -102.82 | ep_len     86 | n_eps    3 | pol -0.0002 | val  0.0241 | ent -1.3771 | kl 0.000003 | ev -0.481 | lr 1.00e-04
iter    61 | steps   31,232 | sps   3124 | ep_rew  -115.35 | ep_len     97 | n_eps    3 | pol -0.0003 | val  0.0227 | ent -1.3714 | kl 0.000003 | ev -0.118 | lr 1.00e-04
iter    62 | steps   31,744 | sps   2831 | ep_rew  -179.99 | ep_len    108 | n_eps    4 | pol -0.0004 | val  0.0218 | ent -1.3724 | kl 0.000004 | ev -0.774 | lr 1.00e-04
iter    63 | steps   32,256 | sps   3252 | ep_rew  -131.83 | ep_len    114 | n_eps    3 | pol -0.0006 | val  0.0132 | ent -1.3728 | kl 0.000008 | ev -0.048 | lr 1.00e-04
iter    64 | steps   32,768 | sps   2925 | ep_rew  -127.42 | ep_len    100 | n_eps    6 | pol -0.0004 | val  0.0243 | ent -1.3722 | kl 0.000010 | ev -0.603 | lr 1.00e-04
iter    65 | steps   33,280 | sps   3176 | ep_rew  -167.07 | ep_len     92 | n_eps    3 | pol -0.0004 | val  0.0185 | ent -1.3797 | kl 0.000004 | ev  0.024 | lr 1.00e-04
iter    66 | steps   33,792 | sps   3249 | ep_rew   -76.11 | ep_len    237 | n_eps    6 | pol -0.0002 | val  0.0132 | ent -1.3792 | kl 0.000002 | ev  0.209 | lr 1.00e-04
  [best] new best -76.11 → models/lunar_ppo/lunar_checkpoint_best.pt
iter    67 | steps   34,304 | sps   3193 | ep_rew  -140.98 | ep_len    127 | n_eps    3 | pol -0.0004 | val  0.0224 | ent -1.3721 | kl 0.000004 | ev -0.371 | lr 1.00e-04
iter    68 | steps   34,816 | sps   3296 | ep_rew   -90.93 | ep_len    130 | n_eps    5 | pol -0.0002 | val  0.0281 | ent -1.3785 | kl 0.000004 | ev -0.412 | lr 1.00e-04
iter    69 | steps   35,328 | sps   3293 | ep_rew  -150.11 | ep_len     97 | n_eps    5 | pol -0.0002 | val  0.0105 | ent -1.3710 | kl 0.000003 | ev  0.170 | lr 1.00e-04
iter    70 | steps   35,840 | sps   3289 | ep_rew  -141.86 | ep_len    104 | n_eps    6 | pol -0.0003 | val  0.0383 | ent -1.3725 | kl 0.000002 | ev -0.446 | lr 1.00e-04
iter    71 | steps   36,352 | sps   3330 | ep_rew  -120.17 | ep_len     93 | n_eps    5 | pol -0.0002 | val  0.0125 | ent -1.3747 | kl 0.000001 | ev  0.017 | lr 1.00e-04
iter    72 | steps   36,864 | sps   3300 | ep_rew   -82.90 | ep_len     96 | n_eps    4 | pol -0.0001 | val  0.0320 | ent -1.3771 | kl 0.000001 | ev -0.265 | lr 1.00e-04
iter    73 | steps   37,376 | sps   3235 | ep_rew  -122.57 | ep_len    100 | n_eps    5 | pol -0.0002 | val  0.0136 | ent -1.3713 | kl 0.000002 | ev -0.399 | lr 1.00e-04
iter    74 | steps   37,888 | sps   3246 | ep_rew  -138.98 | ep_len    100 | n_eps    7 | pol -0.0003 | val  0.0195 | ent -1.3759 | kl 0.000002 | ev -0.494 | lr 1.00e-04
iter    75 | steps   38,400 | sps   3341 | ep_rew  -117.78 | ep_len     87 | n_eps    5 | pol -0.0005 | val  0.0072 | ent -1.3752 | kl 0.000003 | ev  0.101 | lr 1.00e-04
iter    76 | steps   38,912 | sps   3304 | ep_rew  -109.78 | ep_len     84 | n_eps    5 | pol -0.0005 | val  0.0098 | ent -1.3725 | kl 0.000006 | ev  0.173 | lr 1.00e-04
iter    77 | steps   39,424 | sps   3300 | ep_rew  -127.20 | ep_len    100 | n_eps    7 | pol -0.0001 | val  0.0641 | ent -1.3621 | kl 0.000003 | ev -0.468 | lr 1.00e-04
iter    78 | steps   39,936 | sps   3369 | ep_rew  -116.88 | ep_len     94 | n_eps    4 | pol -0.0002 | val  0.0126 | ent -1.3613 | kl 0.000002 | ev  0.097 | lr 1.00e-04
iter    79 | steps   40,448 | sps   3341 | ep_rew  -168.96 | ep_len     95 | n_eps    6 | pol -0.0004 | val  0.0130 | ent -1.3583 | kl 0.000005 | ev  0.266 | lr 1.00e-04
iter    80 | steps   40,960 | sps   3213 | ep_rew  -148.06 | ep_len     94 | n_eps    6 | pol -0.0004 | val  0.0339 | ent -1.3662 | kl 0.000006 | ev -0.055 | lr 1.00e-04
iter    81 | steps   41,472 | sps   3059 | ep_rew  -110.32 | ep_len     86 | n_eps    6 | pol -0.0004 | val  0.0063 | ent -1.3675 | kl 0.000004 | ev  0.509 | lr 1.00e-04
iter    82 | steps   41,984 | sps   2796 | ep_rew  -116.99 | ep_len     80 | n_eps    5 | pol -0.0000 | val  0.0056 | ent -1.3658 | kl 0.000001 | ev  0.540 | lr 1.00e-04
iter    83 | steps   42,496 | sps   4782 | ep_rew  -134.22 | ep_len    102 | n_eps    6 | pol -0.0001 | val  0.0161 | ent -1.3604 | kl 0.000001 | ev  0.188 | lr 1.00e-04
iter    84 | steps   43,008 | sps   4564 | ep_rew   -96.43 | ep_len     81 | n_eps    7 | pol -0.0001 | val  0.0061 | ent -1.3743 | kl 0.000001 | ev  0.254 | lr 1.00e-04
iter    85 | steps   43,520 | sps   4034 | ep_rew  -130.07 | ep_len     95 | n_eps    4 | pol -0.0006 | val  0.0174 | ent -1.3741 | kl 0.000002 | ev  0.119 | lr 1.00e-04
iter    86 | steps   44,032 | sps   2503 | ep_rew  -107.47 | ep_len     96 | n_eps    7 | pol -0.0002 | val  0.0103 | ent -1.3710 | kl 0.000003 | ev -0.119 | lr 1.00e-04
iter    87 | steps   44,544 | sps   1003 | ep_rew  -140.26 | ep_len    114 | n_eps    3 | pol -0.0007 | val  0.0095 | ent -1.3611 | kl 0.000009 | ev -0.219 | lr 1.00e-04
iter    88 | steps   45,056 | sps   2368 | ep_rew  -107.76 | ep_len     90 | n_eps    6 | pol -0.0003 | val  0.0057 | ent -1.3612 | kl 0.000009 | ev  0.193 | lr 1.00e-04
iter    89 | steps   45,568 | sps   2401 | ep_rew  -120.72 | ep_len     92 | n_eps    5 | pol -0.0003 | val  0.0067 | ent -1.3677 | kl 0.000003 | ev  0.346 | lr 1.00e-04
iter    90 | steps   46,080 | sps   2384 | ep_rew  -150.72 | ep_len     97 | n_eps    6 | pol -0.0007 | val  0.0273 | ent -1.3620 | kl 0.000006 | ev -0.318 | lr 1.00e-04
